1:x 2:y 3:p 4:u.x 5:u.y 6:g.x 7:g.y 8:pf 9:uf.x 10:uf.y 11:f 12:predicted_ux
0 -3.125 -0.000357914 -1.27403e-05 -1.2743e-05 0 0 0 -1.33274e-05 -1.33274e-05 0 0.00361492
0 -3.07617 0 -2.50793e-05 -1.24868e-05 0 -0.0137355 0 -2.5486e-05 -1.21586e-05 0 0.00361965
0 -3.02734 0 -4.97843e-05 -1.22798e-05 0 -0.0135078 0 -4.99473e-05 -1.23028e-05 0 0.00363088
0 -2.97852 0 -7.4528e-05 -1.23496e-05 0 -0.0135845 0 -7.46053e-05 -1.23552e-05 0 0.00364569
0 -2.92969 0 -9.92992e-05 -1.23848e-05 0 -0.0136233 0 -9.93456e-05 -1.23851e-05 0 0.00366418
0 -2.88086 0 -0.00012411 -1.24151e-05 0 -0.0136566 0 -0.000124145 -1.24138e-05 0 0.00368643
0 -2.83203 0 -0.000148978 -1.24494e-05 0 -0.0136943 0 -0.000149006 -1.24477e-05 0 0.00371252
0 -2.7832 0 -0.000173917 -1.249e-05 0 -0.013739 0 -0.000173942 -1.24882e-05 0 0.00374256
0 -2.73438 0 -0.000198943 -1.25377e-05 0 -0.0137915 0 -0.000198966 -1.25359e-05 0 0.00377667
0 -2.68555 0 -0.000224072 -1.25926e-05 0 -0.0138518 0 -0.000224093 -1.25908e-05 0 0.00381509
0 -2.63672 0 -0.000249317 -1.26545e-05 0 -0.01392 0 -0.000249336 -1.26528e-05 0 0.00385797
0 -2.58789 0 -0.000274694 -1.27234e-05 0 -0.0139958 0 -0.000274711 -1.27217e-05 0 0.00390544
0 -2.53906 0 -0.000300215 -1.27992e-05 0 -0.0140792 0 -0.00030023 -1.27976e-05 0 0.00395774
0 -2.49024 0 -0.000325895 -1.28817e-05 0 -0.0141699 0 -0.000325908 -1.28801e-05 0 0.00401521
0 -2.44141 0 -0.000351748 -1.29708e-05 0 -0.0142679 0 -0.000351757 -1.29692e-05 0 0.00407811
0 -2.39258 0 -0.000377785 -1.30663e-05 0 -0.0143729 0 -0.000377791 -1.30647e-05 0 0.00414683
0 -2.34375 0 -0.00040402 -1.3168e-05 0 -0.0144848 0 -0.000404022 -1.31665e-05 0 0.00422188
0 -2.29492 0 -0.000430466 -1.32758e-05 0 -0.0146034 0 -0.000430463 -1.32744e-05 0 0.00430355
0 -2.24609 0 -0.000457134 -1.33895e-05 0 -0.0147284 0 -0.000457125 -1.33881e-05 0 0.00439237
0 -2.19727 0 -0.000484035 -1.35087e-05 0 -0.0148595 0 -0.000484021 -1.35073e-05 0 0.00448899
0 -2.14844 0 -0.000511181 -1.36332e-05 0 -0.0149965 0 -0.00051116 -1.36319e-05 0 0.00459398
0 -2.09961 0 -0.000538582 -1.37627e-05 0 -0.0151389 0 -0.000538553 -1.37615e-05 0 0.00470804
0 -2.05078 0 -0.000566248 -1.38967e-05 0 -0.0152864 0 -0.00056621 -1.38957e-05 0 0.0048319
0 -2.00195 0 -0.000594187 -1.40349e-05 0 -0.0154384 0 -0.00059414 -1.4034e-05 0 0.00496593
0 -1.95313 0 -0.000622407 -1.41766e-05 0 -0.0155943 0 -0.00062235 -1.41759e-05 0 0.00511141
0 -1.9043 0 -0.000650914 -1.43212e-05 0 -0.0157533 0 -0.000650846 -1.43207e-05 0 0.00527028
0 -1.85547 0 -0.000679714 -1.4468e-05 0 -0.0159148 0 -0.000679635 -1.44676e-05 0 0.00544408
